name,violability,conditioning,exceptionality,reparability,foundation,stricture,relations,constituent,count
GermanClause,notViolable,constructionalConditioning,NA,NA,arch,order,taxonomic,syntacticConstituent,5
TieneVerbProsodic,potentiallyViolable,prosodicConditioning,noKnownExceptions,shortening,span,length,NA,Mora,2
ChechenPreverbalA,potentiallyViolable,lexicoconstructionalConditioning,noKnownExceptions,morphosyntacticInsertion,span,length,NA,prosodicWord,2
SerboCroatianJe,notViolable,lexicoconstructionalConditioning,NA,NA,span,order,simple,prosodicWord,2
MandeClause,notViolable,constructionalConditioning,NA,NA,arch,order,simple,syntacticConstituent,5
ChichewaAR,potentiallyViolable,lexicoconstructionalConditioning,semantic,morphosyntacticInsertion,arch,order,simple,morphologicalConstituent,2
NdebeleCA,notViolable,lexicoconstructionalConditioning,NA,NA,arch,order,simple,morphologicalConstituent,4
MeskwakiClause,notViolable,constructionalConditioning,NA,NA,arch,order,simple,syntacticConstituent,5
EnglishPlural,notViolable,lexicoconstructionalConditioning,NA,NA,arch,order,simple,morphologicalConstituent,2
SerboCroatianTopicalization,potentiallyViolable,prosodicConditioning,noKnownExceptions,irreparable,span,length,NA,prosodicWord,2
AghemClause,potentiallyViolable,constructionalConditioning,lexical,morphosyntacticInsertion,arch,order,simple,syntacticConstituent,6
NimboranVerb,potentiallyViolable,constructionalConditioning,noKnownExceptions,homophony,span,order,taxonomic,morphologicalConstituent,7
BantuVCy,notViolable,lexicoconstructionalConditioning,NA,NA,arch,order,simple,morphologicalConstituent,3
EnglishVP,notViolable,constructionalConditioning,NA,NA,arch,order,simple,syntacticConstituent,3
TurkishNominalMinimality,potentiallyViolable,prosodicConditioning,lexical,irreparable,span,length,NA,Syllable,2
BantuCT,notViolable,lexicoconstructionalConditioning,NA,NA,arch,order,simple,morphologicalConstituent,3
TieneVerbSegments,potentiallyViolable,prosodicConditioning,noKnownExceptions,phonologicalRepair,arch,order,simple,segment,3
TurkishVerbalMinimality,potentiallyViolable,prosodicConditioning,lexical,morphosyntacticInsertion,span,length,NA,Syllable,2
BantuCA,notViolable,lexicoconstructionalConditioning,NA,NA,arch,order,simple,morphologicalConstituent,3
ChintangPrefixes,notViolable,constructionalConditioning,NA,NA,arch,order,simple,prosodicWord,2
